,Label,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Ranking_Scores,Media_Impact,GDP,Population,GDP_Per_Person,Distance,Lowest,Highest,ave,Plan,NO
104,1096,东北财经大学,10173,2012,理科,辽宁,东北财经大学,19,3.18,0.0,2222670,4383.0,507.11156741959996,2246.0,568.0,608.0,591.0,20.0,第一批
105,1110,东北财经大学,10173,2014,文科,辽宁,东北财经大学,29,61.29,0.0,2707765,4390.0,616.8029612756,2246.0,594.0,617.0,606.0,22.0,第一批
106,1114,东北财经大学,10173,2015,理科,辽宁,东北财经大学,24,62.69,0.0,2862658,4391.0,651.9375996356,2246.0,,,591.0,,第一批
107,1126,东北财经大学,10173,2013,文科,辽宁,东北财经大学,29,3.15,0.0,2484643,4389.0,566.1068580542,2246.0,601.0,621.0,609.0,21.0,第一批
108,1138,东北财经大学,10173,2010,理科,辽宁,东北财经大学,20,3.32,0.0,1521250,4341.0,350.43768716889997,2246.0,554.0,611.0,569.0,12.0,第一批
109,1147,东北财经大学,10173,2011,理科,辽宁,东北财经大学,20,3.38,0.0,1845727,4375.0,421.8804571429,2246.0,624.0,661.0,645.0,19.0,第一批
110,1159,东北财经大学,10173,2013,理科,辽宁,东北财经大学,31,3.15,0.0,2484643,4389.0,566.1068580542,2246.0,597.0,633.0,611.0,19.0,第一批
111,1171,东北财经大学,10173,2010,文科,辽宁,东北财经大学,20,3.32,0.0,1521250,4341.0,350.43768716889997,2246.0,542.0,569.0,551.0,13.0,第一批
112,1205,东华大学,10255,2014,理科,上海,东华大学,32,64.15,0.07646103900000001,2160212,2415.15,894.4421671532001,1462.0,579.0,618.0,600.0,41.0,第一批
113,1206,东华大学,10255,2011,理科,上海,东华大学,36,7.8,0.0374089069,1716598,2302.66,745.4847871592,1462.0,629.0,648.0,635.0,37.0,第一批
114,1210,东华大学,10255,2012,理科,上海,东华大学,36,7.73,0.032326284,1919569,2347.46,817.7217077181,1462.0,558.0,605.0,584.0,38.0,第一批
115,1215,东华大学,10255,2015,理科,上海,东华大学,32,63.71,0.036349453999999996,2356094,2426.0,971.1846661171,1462.0,,,594.0,,第一批
116,1222,东华大学,10255,2010,理科,上海,东华大学,38,7.71,0.0440329218,1504645,2210.2841277426,680.7473216291,1462.0,540.0,589.0,562.0,88.0,第一批
117,1232,东华大学,10255,2013,理科,上海,东华大学,37,10.43,0.0311435523,2018172,2380.43,847.8182513242999,1462.0,598.0,639.0,605.0,36.0,第一批
118,1241,东南大学,10286,2014,理科,江苏,东南大学,62,68.96,0.1003246753,5916175,7939.49,745.1580643089,1380.0,600.0,664.0,632.0,65.0,第一批
119,1243,东南大学,10286,2012,理科,江苏,东南大学,50,19.22,0.07794561929999999,4911027,7898.8006682342,621.7433767825,1380.0,594.0,632.0,611.0,50.0,第一批
120,1245,东南大学,10286,2010,理科,江苏,东南大学,40,19.43,0.07613168719999999,3445730,7810.269,441.1794267265,1380.0,540.0,630.0,587.0,73.0,第一批
121,1245,东南大学,10286,2010,理科,江苏,东南大学,40,19.43,0.07613168719999999,3445730,7810.269,441.1794267265,1380.0,562.0,584.0,567.0,5.0,提前批
122,1251,东南大学,10286,2015,理科,江苏,东南大学,67,69.69,0.09625585019999999,6508832,7960.0,817.6924623116,1380.0,,,626.0,,第一批
123,1253,东南大学,10286,2013,理科,江苏,东南大学,65,21.17,0.0793187348,5405822,7919.98,682.5550064519999,1380.0,619.0,656.0,629.0,50.0,第一批
124,1268,东南大学,10286,2011,理科,江苏,东南大学,50,19.73,0.0724696356,4142548,7869.34,526.4161924634,1380.0,648.0,681.0,657.0,41.0,第一批
125,1277,中北大学,10110,2015,理科,山西,中北大学,94,62.49,0.0,1275944,3648.0,349.76535087720004,2090.0,,,528.0,,第二批
126,1279,中北大学,10110,2015,文科,山西,中北大学,6,62.49,0.0,1275944,3648.0,349.76535087720004,2090.0,,,551.0,,第二批
127,1281,中南大学,10533,2014,文科,湖南,中南大学,36,70.54,0.0943181818,2450167,6690.6,366.21035482620005,662.0,611.0,616.0,614.0,27.0,第一批
128,1284,中南大学,10533,2011,文科,湖南,中南大学,22,27.77,0.0761133603,1603796,6570.1,244.10526476,662.0,606.0,621.0,611.0,22.0,第一批
129,1285,中南大学,10533,2012,理科,湖南,中南大学,202,27.62,0.06450151059999999,1966956,6595.6,298.2224513312,662.0,591.0,620.0,596.0,209.0,第一批
130,1291,中南大学,10533,2014,理科,湖南,中南大学,280,70.54,0.0943181818,2450167,6690.6,366.21035482620005,662.0,595.0,647.0,613.0,293.0,第一批
131,1292,中南大学,10533,2013,文科,湖南,中南大学,27,26.1,0.0695863747,2215423,6638.93,333.7018164072,662.0,601.0,615.0,605.0,20.0,第一批
132,1296,中南大学,10533,2015,文科,湖南,中南大学,32,72.28,0.0925117005,2704846,6737.0,401.4911681757,662.0,606.0,,609.0,,第一批
133,1317,中南大学,10533,2011,理科,湖南,中南大学,205,27.77,0.0761133603,1603796,6570.1,244.10526476,662.0,638.0,660.0,642.0,236.0,第一批
134,1331,中南大学,10533,2010,文科,湖南,中南大学,22,28.22,0.0691358025,1305969,6406.0,203.8665313768,662.0,525.0,548.0,537.0,30.0,第一批
135,1344,中南大学,10533,2012,文科,湖南,中南大学,20,27.62,0.06450151059999999,1966956,6595.6,298.2224513312,662.0,580.0,610.0,598.0,23.0,第一批
136,1356,中南大学,10533,2013,理科,湖南,中南大学,293,26.1,0.0695863747,2215423,6638.93,333.7018164072,662.0,592.0,649.0,617.0,204.0,第一批
137,1371,中南大学,10533,2010,理科,湖南,中南大学,236,28.22,0.0691358025,1305969,6406.0,203.8665313768,662.0,552.0,609.0,576.0,306.0,第一批
138,1371,中南大学,10533,2010,理科,湖南,中南大学,236,28.22,0.0691358025,1305969,6406.0,203.8665313768,662.0,544.0,577.0,558.0,8.0,提前批
139,1385,中南大学,10533,2015,理科,湖南,中南大学,280,72.28,0.0925117005,2704846,6737.0,401.4911681757,662.0,603.0,,609.0,,第一批
140,1425,中南林业科技大学,10538,2015,文科,湖南,中南林业科技大学,6,62.15,0.0,2704846,6737.0,401.4911681757,659.0,,,572.0,,第一批
141,1425,中南林业科技大学,10538,2015,文科,湖南,中南林业科技大学,6,62.15,0.0,2704846,6737.0,401.4911681757,659.0,,,558.0,,第二批
142,1427,中南林业科技大学,10538,2014,文科,湖南,中南林业科技大学,6,60.58,0.0,2450167,6690.6,366.21035482620005,659.0,571.0,586.0,574.0,25.0,第二批
143,1429,中南林业科技大学,10538,2014,理科,湖南,中南林业科技大学,94,60.58,0.0,2450167,6690.6,366.21035482620005,659.0,544.0,564.0,551.0,63.0,第二批
144,1432,中南林业科技大学,10538,2015,理科,湖南,中南林业科技大学,94,62.15,0.0,2704846,6737.0,401.4911681757,659.0,,,554.0,,第一批
145,1432,中南林业科技大学,10538,2015,理科,湖南,中南林业科技大学,94,62.15,0.0,2704846,6737.0,401.4911681757,659.0,,,545.0,,第二批
146,1441,中南财经政法大学,10520,2012,文科,湖北,中南财经政法大学,100,5.87,0.049244712999999996,1963226,5758.0,340.9562348038,979.0,586.0,624.0,610.0,97.0,第一批
147,1443,中南财经政法大学,10520,2010,文科,湖北,中南财经政法大学,100,5.94,0.0448559671,1296110,5720.0,226.5926573427,979.0,526.0,571.0,546.0,730.0,第一批
148,1443,中南财经政法大学,10520,2010,文科,湖北,中南财经政法大学,100,5.94,0.0448559671,1296110,5720.0,226.5926573427,979.0,332.0,546.0,503.0,56.0,提前批
