University_Name_Location,年份,最低,最高,平均,录取人数,录取批次,Topic
东北大学秦皇岛分校,2010,622,633,626,20,第一批,理科
东北大学秦皇岛分校,2008,564,610,578,10,第一批,理科
东北大学秦皇岛分校,2010,523,556,538,13,第一批,文科
山东大学威海分校,2014,,,579,,第一批,理科
山东大学威海分校,2013,585,605,590,48,第一批,理科
山东大学威海分校,2012,572,610,591,35,第一批,理科
山东大学威海分校,2011,568,586,573,30,第一批,理科
山东大学威海分校,2010,621,639,624,17,第一批,理科
山东大学威海分校,2009,541,563,547,28,第一批,理科
山东大学威海分校,2014,,,595,,第一批,文科
山东大学威海分校,2013,582,620,605,22,第一批,文科
山东大学威海分校,2012,591,604,596,20,第一批,文科
山东大学威海分校,2011,568,603,590,19,第一批,文科
山东大学威海分校,2010,597,612,601,12,第一批,文科
山东大学威海分校,2009,519,540,525,17,第一批,文科
哈尔滨工业大学（威海）,2013,587,621,604,31,第一批,理科
哈尔滨工业大学（威海）,2012,586,615,605,25,第一批,理科
哈尔滨工业大学（威海）,2011,572,598,580,20,第一批,理科
北京交通大学,2014,598,629,604,,第一批,理科
北京交通大学,2013,589,623,609,88,第一批,理科
北京交通大学,2012,595,632,616,77,第一批,理科
北京交通大学,2011,583,616,598,77,第一批,理科
北京交通大学,2010,631,668,648,71,第一批,理科
北京交通大学,2009,548,609,583,108,第一批,理科
北京交通大学,2008,588,621,597,72,第一批,理科
北京交通大学,2014,600,608,604,,第一批,文科
北京交通大学,2013,617,629,624,6,第一批,文科
北京交通大学,2012,606,628,617,5,第一批,文科
北京交通大学,2011,607,619,613,5,第一批,文科
北京交通大学,2010,624,628,625,4,第一批,文科
北京交通大学,2009,541,546,542,7,第一批,文科
北京工业大学,2014,,,581,,第一批,理科
北京工业大学,2013,595,605,600,12,第一批,理科
北京工业大学,2012,596,608,602,18,第一批,理科
北京工业大学,2011,574,590,583,14,第一批,理科
北京工业大学,2010,636,647,639,17,第一批,理科
北京工业大学,2009,564,583,573,17,第一批,理科
北京工业大学,2008,565,581,572,4,第一批,理科
北京工业大学,2014,,,597,,第一批,文科
