,Unnamed: 0,Label,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Label.1,Lowest,Highest,ave,Plan,NO
1338,1338,20,10712,西北农林科技大学,1638.0,陕西,1604521,3764.0,426.2808182784,2014,63.58,0.0,文科,2,20,594.0,594.0,594.0,1.0,第一批
1339,1339,19,10712,西北农林科技大学,1638.0,陕西,816980,3727.0,219.205795546,2010,8.9,0.0,文科,6,19,519.0,523.0,520.0,10.0,第一批
1340,1340,23,10697,西北大学,1647.0,陕西,1012348,3735.0,271.0436412316,2011,11.63,0.0449392713,文科,2,23,599.0,599.0,599.0,2.0,第一批
1341,1341,25,10697,西北大学,1647.0,陕西,1251230,3743.0,334.2853326209,2012,11.59,0.0486404834,理科,4,25,568.0,585.0,576.0,4.0,第一批
1342,1342,24,10697,西北大学,1647.0,陕西,1445368,3753.0,385.12336797230006,2013,10.79,0.046715328499999986,理科,4,24,586.0,594.0,589.0,4.0,第一批
1343,1343,19,10697,西北大学,1647.0,陕西,1251230,3743.0,334.2853326209,2012,11.59,0.0486404834,文科,2,19,580.0,584.0,582.0,2.0,第一批
1344,1344,16,10697,西北大学,1647.0,陕西,1445368,3753.0,385.12336797230006,2013,10.79,0.046715328499999986,文科,2,16,596.0,597.0,596.0,2.0,第一批
1345,1345,18,10697,西北大学,1647.0,陕西,816980,3727.0,219.205795546,2010,11.58,0.0477366255,文科,2,18,520.0,541.0,531.0,17.0,第一批
1346,1346,28,10697,西北大学,1647.0,陕西,1604521,3764.0,426.2808182784,2014,64.59,0.06428571429999999,理科,3,28,582.0,601.0,588.0,4.0,第一批
1347,1347,25,10697,西北大学,1647.0,陕西,816980,3727.0,219.205795546,2010,11.58,0.0477366255,理科,6,25,544.0,571.0,553.0,24.0,第一批
1348,1348,29,10697,西北大学,1647.0,陕西,1768994,3775.0,468.6076821192,2015,66.67,0.06443057719999999,理科,12,29,572.0,,575.0,,第一批
1349,1349,17,10697,西北大学,1647.0,陕西,1604521,3764.0,426.2808182784,2014,64.59,0.06428571429999999,文科,2,17,604.0,607.0,606.0,2.0,第一批
