Label,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Ranking_Scores,Media_Impact,GDP,Population,GDP_Per_Person,Distance
9118,大连海事大学,10151,2010,文科,辽宁,大连海事大学,14,3.38,0,1521250,4341,350.4376871689,2259
9128,大连海事大学,10151,2013,理科,辽宁,大连海事大学,100,3.18,0,2484643,4389,566.1068580542,2259
9133,大连海事大学,10151,2010,理科,辽宁,大连海事大学,73,3.38,0,1521250,4341,350.4376871689,2259
9145,大连海事大学,10151,2015,文科,辽宁,大连海事大学,17,62.53,0,2862658,4391,651.9375996356,2259
9159,大连海事大学,10151,2012,理科,辽宁,大连海事大学,77,3.37,0,2222670,4383,507.1115674196,2259
9181,大连海事大学,10151,2013,文科,辽宁,大连海事大学,16,3.18,0,2484643,4389,566.1068580542,2259
9195,大连海事大学,10151,2015,理科,辽宁,大连海事大学,104,62.53,0,2862658,4391,651.9375996356,2259
9207,大连海事大学,10151,2014,理科,辽宁,大连海事大学,104,61.27,0,2707765,4390,616.8029612756,2259
9222,大连海事大学,10151,2011,理科,辽宁,大连海事大学,78,3.28,0,1845727,4375,421.8804571429,2259
9246,大连理工大学,10141,2011,理科,辽宁,大连理工大学,30,17.8,0.0267611336,1845727,4375,421.8804571429,2259
9249,大连理工大学,10141,2015,理科,辽宁,大连理工大学,52,67.81,0.0361934477,2862658,4391,651.9375996356,2259
9252,大连理工大学,10141,2014,理科,辽宁,大连理工大学,47,67.77,0,2707765,4390,616.8029612756,2259
9260,大连理工大学,19141,2014,理科,辽宁,大连理工大学(盘锦校区),14,67.77,0,2707765,4390,616.8029612756,2259
9263,大连理工大学,19141,2013,理科,辽宁,大连理工大学盘锦校区,13,18.82,0.0253041363,2484643,4389,566.1068580542,2259
9266,大连理工大学,19141,2015,理科,辽宁,大连理工大学(盘锦校区),15,67.81,0.0361934477,2862658,4391,651.9375996356,2259
9269,大连理工大学,10141,2010,理科,辽宁,大连理工大学,30,18.38,0.0267078189,1521250,4341,350.4376871689,2259
9276,大连理工大学,10141,2012,理科,辽宁,大连理工大学,35,17.34,0.0252567976,2222670,4383,507.1115674196,2259
9282,大连理工大学,10141,2013,理科,辽宁,大连理工大学,42,18.82,0.0253041363,2484643,4389,566.1068580542,2259
9291,天津医科大学,10062,2010,理科,天津,天津医科大学,10,3.49,0,752185,1228.16,612.448703752,2102
9292,天津医科大学,10062,2011,理科,天津,天津医科大学,5,3.77,0,922446,1299.29,709.9615944093,2102
9295,天津大学,10056,2011,文科,天津,天津大学,2,21.98,0.075708502,922446,1299.29,709.9615944093,2090
9298,天津大学,10056,2013,理科,天津,天津大学,45,20.99,0.0720194647,1289388,1413.15,912.4211867105,2090
9300,天津大学,10056,2014,理科,天津,天津大学,51,68.56,0.0933441558,1437016,1472.21,976.0944430482,2090
9310,天津大学,10056,2015,理科,天津,天津大学,57,70.03,0.0845553822,1572247,1517,1036.418589321,2090
9314,天津大学,10056,2011,理科,天津,天津大学,33,21.98,0.075708502,922446,1299.29,709.9615944093,2090
9315,天津大学,10056,2010,理科,天津,天津大学,30,22.65,0.0650205761,752185,1228.16,612.448703752,2090
9327,天津大学,10056,2012,理科,天津,天津大学,40,22.17,0.0731117825,1130728,1354.58,834.7443488018,2090
9344,天津财经大学,10070,2014,理科,天津,天津财经大学,21,60.58,0,1437016,1472.21,976.0944430482,2103
9350,天津财经大学,10070,2012,理科,天津,天津财经大学,21,1.51,0,1130728,1354.58,834.7443488018,2103
9353,天津财经大学,10070,2015,理科,天津,天津财经大学,30,61.97,0,1572247,1517,1036.418589321,2103
9370,天津财经大学,10070,2012,文科,天津,天津财经大学,15,1.51,0,1130728,1354.58,834.7443488018,2103
9374,天津财经大学,10070,2013,文科,天津,天津财经大学,19,1.52,0,1289388,1413.15,912.4211867105,2103
9386,天津财经大学,10070,2014,文科,天津,天津财经大学,16,60.58,0,1437016,1472.21,976.0944430482,2103
9398,天津财经大学,10070,2013,理科,天津,天津财经大学,26,1.52,0,1289388,1413.15,912.4211867105,2103
9410,天津财经大学,10070,2015,文科,天津,天津财经大学,20,61.97,0,1572247,1517,1036.418589321,2103
9422,天津财经大学,10070,2011,理科,天津,天津财经大学,23,1.39,0,922446,1299.29,709.9615944093,2103
9434,天津财经大学,10070,2010,文科,天津,天津财经大学,20,1.22,0,752185,1228.16,612.448703752,2103
9447,天津财经大学,10070,2011,文科,天津,天津财经大学,18,1.39,0,922446,1299.29,709.9615944093,2103
9459,天津财经大学,10070,2010,理科,天津,天津财经大学,25,1.22,0,752185,1228.16,612.448703752,2103
9488,太原理工大学,10112,2012,理科,山西,太原理工大学,30,5.63,0,1123755,3593.28,312.7379441624,1865
9492,太原理工大学,10112,2010,理科,山西,太原理工大学,40,6.2,0,735831,3427.36,214.6932332758,1865
9494,太原理工大学,10112,2011,理科,山西,太原理工大学,30,5.42,0,920086,3574.11,257.4308009546,1865
9497,太原理工大学,10112,2013,理科,山西,太原理工大学,30,4.88,0,1211283,3610.83,335.4583295253,1865
9500,太原理工大学,10112,2014,理科,山西,太原理工大学,30,62.08,0,1260224,3629.8,347.1882748361,1865
9510,太原理工大学,10112,2015,理科,山西,太原理工大学,30,63.48,0,1275944,3648,349.7653508772,1865
9524,安徽医科大学,10366,2014,理科,安徽,安徽医科大学,8,60.89,0,1903887,6029.8,315.7462934094,1215
9525,安徽医科大学,10366,2013,理科,安徽,安徽医科大学,8,2.15,0,1721205,5988,287.4423847695,1215
9527,安徽医科大学,10366,2015,理科,安徽,安徽医科大学,8,62.24,0,2084875,6083,342.7379582443,1215
9531,安徽医科大学,10366,2012,理科,安徽,安徽医科大学,3,1.63,0,1530065,5968,256.3781836461,1215
9540,安徽大学,10357,2010,文科,安徽,安徽大学,10,5.11,0,1006282,6131,164.1301582124,1253
9541,安徽大学,10357,2011,文科,安徽,安徽大学,10,5,0,1235933,5956.7,207.4861920191,1253
9547,安徽大学,10357,2015,理科,安徽,安徽大学,25,63.46,0.0410296412,2084875,6083,342.7379582443,1253
9549,安徽大学,10357,2010,理科,安徽,安徽大学,10,5.11,0,1006282,6131,164.1301582124,1253
9562,安徽大学,10357,2015,文科,安徽,安徽大学,20,63.46,0.0410296412,2084875,6083,342.7379582443,1253
9579,安徽大学,10357,2013,文科,安徽,安徽大学,15,4.42,0.0265206813,1721205,5988,287.4423847695,1253
9581,安徽大学,10357,2012,文科,安徽,安徽大学,16,4.75,0.0264350453,1530065,5968,256.3781836461,1253
9602,安徽大学,10357,2014,理科,安徽,安徽大学,20,62.04,0.0368506494,1903887,6029.8,315.7462934094,1253
9606,安徽大学,10357,2011,理科,安徽,安徽大学,10,5,0,1235933,5956.7,207.4861920191,1253
9617,安徽大学,10357,2012,理科,安徽,安徽大学,14,4.75,0.0264350453,1530065,5968,256.3781836461,1253
9629,安徽大学,10357,2014,文科,安徽,安徽大学,15,62.04,0.0368506494,1903887,6029.8,315.7462934094,1253
9659,安徽大学,10357,2013,理科,安徽,安徽大学,20,4.42,0.0265206813,1721205,5988,287.4423847695,1253
9684,对外经济贸易大学,10036,2011,理科,北京,对外经济贸易大学,32,3.85,0.0481781377,1411358,1961.9,719.3832509302,2136
9688,对外经济贸易大学,10036,2011,文科,北京,对外经济贸易大学,33,3.85,0.0481781377,1411358,1961.9,719.3832509302,2136
9696,对外经济贸易大学,10036,2012,文科,北京,对外经济贸易大学,33,3.89,0.0450151057,1625193,2018.6,805.1089864262,2136
9704,对外经济贸易大学,10036,2010,理科,北京,对外经济贸易大学,33,3.85,0.0502057613,1215300,1860,653.3870967742,2136
9716,对外经济贸易大学,10036,2015,理科,北京,对外经济贸易大学,49,63.09,0.0496099844,2133083,2152,991.2095724907,2136
9728,对外经济贸易大学,10036,2015,文科,北京,对外经济贸易大学,32,63.09,0.0496099844,2133083,2152,991.2095724907,2136
9740,对外经济贸易大学,10036,2014,理科,北京,对外经济贸易大学,44,61.63,0.0488636364,1950056,2114.8,922.0994893134,2136
9752,对外经济贸易大学,10036,2013,文科,北京,对外经济贸易大学,38,3.88,0.0457420925,1787940,2069.3,864.0313149374,2136
9764,对外经济贸易大学,10036,2014,文科,北京,对外经济贸易大学,36,61.63,0.0488636364,1950056,2114.8,922.0994893134,2136
9776,对外经济贸易大学,10036,2013,理科,北京,对外经济贸易大学,38,3.88,0.0457420925,1787940,2069.3,864.0313149374,2136
9789,对外经济贸易大学,10036,2012,理科,北京,对外经济贸易大学,33,3.89,0.0450151057,1625193,2018.6,805.1089864262,2136
9809,对外经济贸易大学,10036,2010,文科,北京,对外经济贸易大学,32,3.85,0.0502057613,1215300,1860,653.3870967742,2136
9828,山东大学,10422,2012,理科,山东,山东大学,81,27.49,0.1027190332,4536185,9637.27,470.691907563,1803
9830,山东大学,19422,2011,文科,山东,山东大学威海分校,18,29.13,0.0886639676,3916992,9587.87,408.5362025142,1803
9831,山东大学,19422,2014,理科,山东,山东大学威海分校,53,71.81,0.1524350649,5468433,9733.39,561.8220373375,1803
9833,山东大学,19422,2013,文科,山东,山东大学威海分校,22,28.09,0.1221411192,5001324,9684.87,516.4058990983,1803
9838,山东大学,10422,2014,文科,山东,山东大学,32,71.81,0.1524350649,5468433,9733.39,561.8220373375,1803
9853,山东大学,10422,2014,理科,山东,山东大学,99,71.81,0.1524350649,5468433,9733.39,561.8220373375,1803
9860,山东大学,10422,2010,文科,山东,山东大学,19,28.98,0.0888888889,3389665,9470.3,357.9258312831,1803
9868,山东大学,19422,2012,文科,山东,山东大学威海分校,20,27.49,0.1027190332,4536185,9637.27,470.691907563,1803
9880,山东大学,19422,2015,理科,山东,山东大学威海分校,62,72.58,0.1505460218,5942659,9789,607.0751864338,1803
9891,山东大学,10422,2010,理科,山东,山东大学,61,28.98,0.0888888889,3389665,9470.3,357.9258312831,1803
9901,山东大学,19422,2011,理科,山东,山东大学威海分校,32,29.13,0.0886639676,3916992,9587.87,408.5362025142,1803
9916,山东大学,10422,2011,文科,山东,山东大学,21,29.13,0.0886639676,3916992,9587.87,408.5362025142,1803
9933,山东大学,10422,2012,文科,山东,山东大学,25,27.49,0.1027190332,4536185,9637.27,470.691907563,1803
9936,山东大学,10422,2011,理科,山东,山东大学,61,29.13,0.0886639676,3916992,9587.87,408.5362025142,1803
9948,山东大学,10422,2015,文科,山东,山东大学,37,72.58,0.1505460218,5942659,9789,607.0751864338,1803
9960,山东大学,10422,2013,文科,山东,山东大学,28,28.09,0.1221411192,5001324,9684.87,516.4058990983,1803
9977,山东大学,19422,2012,理科,山东,山东大学威海分校,35,27.49,0.1027190332,4536185,9637.27,470.691907563,1803
9989,山东大学,19422,2010,文科,山东,山东大学威海分校,12,28.98,0.0888888889,3389665,9470.3,357.9258312831,1803
10001,山东大学,19422,2010,理科,山东,山东大学威海分校,18,28.98,0.0888888889,3389665,9470.3,357.9258312831,1803
10022,山东大学,10422,2013,理科,山东,山东大学,104,28.09,0.1221411192,5001324,9684.87,516.4058990983,1803
10034,山东大学,19422,2015,文科,山东,山东大学威海分校,22,72.58,0.1505460218,5942659,9789,607.0751864338,1803
10055,山东大学,19422,2014,文科,山东,山东大学威海分校,22,71.81,0.1524350649,5468433,9733.39,561.8220373375,1803
