"","Year","Topic","University_Name_Location","Label","University_Name","UniversityNo","Province","Plan_Number","Lowest_Ranking","Score","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance","Score_Last_Year"
"114",2010,"理科","北京林业大学",4758,"北京林业大学",10022,"北京",54,24073,627,7.21,0.032345679,1215300,1860,61.5,653.3870967742,29550,0.8146531303,"beijinglinyedaxue",2135,540
"115",2010,"理科","北京理工大学",4979,"北京理工大学",10007,"北京",61,7447,652,17.15,0.0942386831,1215300,1860,61.5,653.3870967742,29550,0.2520135364,"beijingligongdaxue",2123,593
"116",2010,"理科","北京科技大学",5064,"北京科技大学",10008,"北京",31,11773,643,14.25,0.0893004115,1215300,1860,61.5,653.3870967742,29550,0.3984094755,"beijingkejidaxue",2129,570
"117",2010,"理科","北京第二外国语学院",5186,"北京第二外国语学院",10031,"北京",12,14050,640,0,0,1215300,1860,61.5,653.3870967742,29550,0.475465313,"beijingdierwaiguoyuxueyuan",2146,547
"118",2010,"理科","北京航空航天大学",5272,"北京航空航天大学",10006,"北京",47,1647,672,22.14,0.1041152263,1215300,1860,61.5,653.3870967742,29550,0.0557360406,"beijinghangkonghangtiandaxue",2129,621
"119",2010,"理科","北京邮电大学",5430,"北京邮电大学",10013,"北京",88,11069,644,8.38,0.1016460905,1215300,1860,61.5,653.3870967742,29550,0.3745854484,"beijingyoudiandaxue",2127,552
"120",2010,"理科","华东理工大学",5655,"华东理工大学",10251,"上海",36,14107,639,11.61,0.03,1504645,2210.2841277426,61.5,680.7473216291,29550,0.477394247,"huadongligongdaxue",1448,544
"121",2010,"理科","华中农业大学",5705,"华中农业大学",10504,"湖北",28,23699,627,10.88,0.0330452675,1296110,5720,61.5,226.5926573427,29550,0.8019966159,"huazhongnongyedaxue",984,540
"122",2010,"理科","华中师范大学",5907,"华中师范大学",10511,"湖北",24,29086,621,11.77,0.0481481481,1296110,5720,61.5,226.5926573427,29550,0.9842978003,"huazhongshifandaxue",984,540
"123",2010,"理科","华中科技大学",5966,"华中科技大学",10487,"湖北",160,6329,654,33.15,0.0888888889,1296110,5720,61.5,226.5926573427,29550,0.214179357,"huazhongkejidaxue",994,540
"124",2010,"理科","华侨大学",6114,"华侨大学",10385,"福建",186,29441,621,1.3,0.0388477366,1223653,3666,61.5,333.784233497,29550,0.9963113367,"huaqiaodaxue",674,540
"125",2010,"理科","华北电力大学(保定)",6515,"华北电力大学",10079,"河北",59,15912,637,4.46,0,1723548,7034.4,61.5,245.0170590242,29550,0.5384771574,"huabeidianlidaxue",1986,540
"126",2010,"理科","华南农业大学",6580,"华南农业大学",10564,"广东",5457,29550,621,5.58,0.0346090535,3948256,10130.1854628636,61.5,389.7516007455,29550,1,"huanannongyedaxue",12.2,540
"127",2010,"理科","华南师范大学",6741,"华南师范大学",10574,"广东",1946,22895,628,6.53,0.0477366255,3948256,10130.1854628636,61.5,389.7516007455,29550,0.7747884941,"huananshifandaxue",36.5,541
"128",2010,"理科","华南理工大学",6896,"华南理工大学",10561,"广东",2981,10589,645,16.15,0.0736625514,3948256,10130.1854628636,61.5,389.7516007455,29550,0.3583417936,"huananligongdaxue",11.9,540
"129",2010,"理科","南京农业大学",7154,"南京农业大学",10307,"江苏",59,27677,623,8.61,0,3445730,7810.269,61.5,441.1794267265,29550,0.9366159052,"nanjingnongyedaxue",1388,540
"130",2010,"理科","南京大学",7252,"南京大学",10284,"江苏",42,839,678,43.99,0.1555555556,3445730,7810.269,61.5,441.1794267265,29550,0.028392555,"nanjingdaxue",1380,615
"131",2010,"理科","南京工业大学",7440,"南京工业大学",10291,"江苏",40,24600,626,5.43,0,3445730,7810.269,61.5,441.1794267265,29550,0.8324873096,"nanjinggongyedaxue",1345,544
"132",2010,"理科","南京理工大学",7495,"南京理工大学",10288,"江苏",42,14372,639,11.48,0,3445730,7810.269,61.5,441.1794267265,29550,0.4863620981,"nanjingligongdaxue",1387,566
"133",2010,"理科","南京航空航天大学",7540,"南京航空航天大学",10287,"江苏",40,12011,643,11.01,0.0267489712,3445730,7810.269,61.5,441.1794267265,29550,0.406463621,"nanjinghangkonghangtiandaxue",1383,577
"134",2010,"理科","南开大学",7728,"南开大学",10055,"天津",28,1753,671,30.09,0.1600823045,752185,1228.16,61.5,612.448703752,29550,0.059323181,"nankaidaxue",2090,600
"135",2010,"理科","南昌大学",7982,"南昌大学",10403,"江西",22,29057,621,7.42,0.0427983539,765518,4432.1581,61.5,172.7190192065,29550,0.9833164129,"nanchangdaxue",775,540
