,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Last_Lowest_Ranking,Label,Lowest,Highest,ave,Plan,NO
1137,10651,西南财经大学,1584,四川,1718548,8044.92,213.6190291513,2011,4.34,0.0518218623,文科,24,4433,15,612,633,619,25,第一批
1138,10698,西安交通大学,1637,陕西,1768994,3775,468.6076821192,2015,72.13,0.1092043682,文科,3,2843,16,,,613,,第一批
1139,10698,西安交通大学,1637,陕西,1445368,3753,385.1233679723,2013,25.59,0.0664233577,理科,38,3934,11,636,666,647,33,第一批
1140,10698,西安交通大学,1637,陕西,1445368,3753,385.1233679723,2013,25.59,0.0664233577,文科,2,2488,13,597,615,606,2,第一批
1141,10698,西安交通大学,1637,陕西,1251230,3743,334.2853326209,2012,26.43,0.0667673716,理科,31,4670,10,605,642,626,32,第一批
1142,10698,西安交通大学,1637,陕西,1768994,3775,468.6076821192,2015,72.13,0.1092043682,理科,44,19386,16,,,632,,第一批
1143,10698,西安交通大学,1637,陕西,1604521,3764,426.2808182784,2014,70.55,0.1086038961,文科,2,3996,11,614,617,616,2,第一批
1144,10698,西安交通大学,1637,陕西,1604521,3764,426.2808182784,2014,70.55,0.1086038961,理科,40,6376,22,625,662,643,39,第一批
1145,10698,西安交通大学,1637,陕西,1251230,3743,334.2853326209,2012,26.43,0.0667673716,文科,2,6184,12,593,604,598,2,第一批
1146,10698,西安交通大学,1637,陕西,1012348,3735,271.0436412316,2011,26.73,0.0898785425,理科,30,4333,11,660,677,667,30,第一批
1147,10724,西安外国语大学,1638,陕西,1012348,3735,271.0436412316,2011,0,0,文科,19,7240,20,603,628,607,14,第一批
1148,10724,西安外国语大学,1638,陕西,1768994,3775,468.6076821192,2015,0,0,理科,13,32252,29,,,579,,第一批
1149,10724,西安外国语大学,1638,陕西,1251230,3743,334.2853326209,2012,0,0,文科,18,7548,19,589,609,593,19,第一批
1150,10724,西安外国语大学,1638,陕西,1251230,3743,334.2853326209,2012,0,0,文科,18,7548,19,496,542,521,10,专科
1151,10724,西安外国语大学,1638,陕西,1445368,3753,385.1233679723,2013,0,0,文科,19,7512,18,583,610,599,21,第一批
1152,10724,西安外国语大学,1638,陕西,1445368,3753,385.1233679723,2013,0,0,文科,19,7512,18,502,540,526,10,专科
1153,10724,西安外国语大学,1638,陕西,1251230,3743,334.2853326209,2012,0,0,理科,7,18751,24,583,614,589,6,第一批
1154,10724,西安外国语大学,1638,陕西,1768994,3775,468.6076821192,2015,0,0,文科,12,9022,21,,,593,,第一批
1155,10724,西安外国语大学,1638,陕西,1604521,3764,426.2808182784,2014,60.1,0,文科,13,9510,18,597,612,603,26,第一批
1156,10724,西安外国语大学,1638,陕西,1012348,3735,271.0436412316,2011,0,0,理科,6,28511,19,622,666,632,7,第一批
1157,10724,西安外国语大学,1638,陕西,1445368,3753,385.1233679723,2013,0,0,理科,6,28070,23,586,602,598,8,第一批
1158,10724,西安外国语大学,1638,陕西,1604521,3764,426.2808182784,2014,60.1,0,理科,12,26479,28,586,599,592,8,第一批
1159,10703,西安建筑科技大学,1636,陕西,1768994,3775,468.6076821192,2015,62.64,0,理科,19,26273,30,,,605,,第一批
1160,10703,西安建筑科技大学,1636,陕西,1251230,3743,334.2853326209,2012,2.76,0,理科,3,24029,16,575,590,582,4,第一批
1161,10703,西安建筑科技大学,1636,陕西,1445368,3753,385.1233679723,2013,2.65,0,理科,5,12065,18,612,616,614,3,第一批
1162,10703,西安建筑科技大学,1636,陕西,1012348,3735,271.0436412316,2011,2.74,0,理科,4,7387,22,652,652,652,1,第一批
1163,10703,西安建筑科技大学,1636,陕西,1604521,3764,426.2808182784,2014,61.14,0,理科,11,16639,26,577,617,600,5,第一批
1164,10700,西安理工大学,1633,陕西,1604521,3764,426.2808182784,2014,61.05,0,理科,36,40420,31,575,589,580,34,第一批
1165,10700,西安理工大学,1633,陕西,1768994,3775,468.6076821192,2015,62.54,0,理科,36,43106,34,,,566,,第一批
1166,10700,西安理工大学,1633,陕西,1445368,3753,385.1233679723,2013,2.84,0,理科,45,29207,26,585,602,591,26,第一批
1167,10700,西安理工大学,1633,陕西,1251230,3743,334.2853326209,2012,3.26,0,理科,42,30392,25,569,590,576,16,第一批
1168,10701,西安电子科技大学,1639,陕西,1768994,3775,468.6076821192,2015,64.5,0,理科,112,20134,23,588,,598,,第一批
1169,10701,西安电子科技大学,1639,陕西,1445368,3753,385.1233679723,2013,8.68,0,理科,110,16772,23,603,632,611,92,第一批
1170,10701,西安电子科技大学,1639,陕西,1604521,3764,426.2808182784,2014,63.62,0,理科,110,26199,23,585,626,603,116,第一批
1171,10701,西安电子科技大学,1639,陕西,1012348,3735,271.0436412316,2011,8.31,0,理科,91,21794,19,629,659,638,89,第一批
1172,10701,西安电子科技大学,1639,陕西,1251230,3743,334.2853326209,2012,7.81,0,理科,92,18529,19,564,626,589,93,第一批
1173,10657,贵州大学,1460,贵州,800679,3502.22,228.6204179064,2014,61.95,0,文科,6,12924,21,591,593,592,6,第一批
1174,10657,贵州大学,1460,贵州,685220,3484.07,196.6722827038,2013,4.5,0,理科,14,29207,26,585,598,591,10,第一批
1175,10657,贵州大学,1460,贵州,460216,3479,132.2839896522,2011,5,0,文科,2,10273,23,596,600,597,3,第一批
1176,10657,贵州大学,1460,贵州,925101,3508,263.7118015964,2015,63.34,0,文科,6,14000,26,,,582,,第一批
1177,10657,贵州大学,1460,贵州,800679,3502.22,228.6204179064,2014,61.95,0,理科,8,40420,31,570,592,580,14,第一批
1178,10657,贵州大学,1460,贵州,570184,3469,164.3655232055,2012,4.92,0,理科,12,30392,25,568,577,572,5,第一批
1179,10657,贵州大学,1460,贵州,685220,3484.07,196.6722827038,2013,4.5,0,文科,6,10000,19,589,590,590,2,第一批
1180,10657,贵州大学,1460,贵州,925101,3508,263.7118015964,2015,63.34,0,理科,6,43066,32,,,566,,第一批
1181,10657,贵州大学,1460,贵州,460216,3479,132.2839896522,2011,5,0,理科,16,26886,24,623,636,627,8,第一批
1182,10140,辽宁大学,2749,辽宁,2222670,4383,507.1115674196,2012,4.75,0,文科,45,10919,21,562,599,585,30,第一批
